[2025-08-20 23:29:31] deleted=682, freed=197.57 MB, trash=True
[2025-08-20 23:39:06] deleted=3178, freed=359.13 MB, trash=True
[2025-08-20 23:46:52] deleted=16, freed=1.03 MB, trash=True
[2025-08-22 20:04:55] deleted=1453, freed=4.51 GB, trash=True
[2025-08-23 14:01:42] deleted=216, freed=20.57 MB, trash=True
[2025-08-30 22:44:32] deleted=1822, freed=4.54 GB, trash=True
[2025-09-19 22:21:40] deleted=2922, freed=5.15 GB, trash=True
[2025-10-01 23:26:45] deleted=2934, freed=4.99 GB, trash=True
[2025-10-11 10:30:35] deleted=3398, freed=4.77 GB, trash=True
[2025-11-02 18:57:34] deleted=3152, freed=8.31 GB, trash=True
[2025-12-07 16:43:56] deleted=2410, freed=6.68 GB, trash=True
[2026-01-01 22:02:47] deleted=2338, freed=4.55 GB, trash=True
[2026-01-21 15:26:28] deleted=2160, freed=4.58 GB, trash=True
[2026-02-02 16:56:50] deleted=2232, freed=4.65 GB, trash=True
[2026-03-02 21:42:08] deleted=3184, freed=4.72 GB, trash=True
[2026-03-11 19:26:29] deleted=2846, freed=4.27 GB, trash=True
[2026-03-12 13:31:17] deleted=330, freed=83.86 MB, trash=True
[2026-05-04 03:00:28] deleted=2474, freed=4.76 GB, trash=True
[2026-05-30 01:19:02] deleted=2212, freed=4.81 GB, trash=True
[2026-06-09 20:32:46] deleted=520829, freed=5.62 GB, trash=True
[2026-06-19 02:35:45] deleted=559615, freed=1.87 GB, trash=False
[2026-06-19 02:39:00] deleted=42, freed=3.51 MB, trash=False
